MENU RND;;;;;;;
;;;;;;;
Bitter Better;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;8; Rp1.200 ;;
Susu kental Manis;2500; Rp63.000 ; Rp25 ;30; Rp756 ;;
Creamer;1000; Rp53.000 ; Rp53 ;5; Rp265 ;;
Air;19000; Rp10.000 ; Rp1 ;15; Rp8 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas Gelas 14 oz ;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp3.124 ;31%;
;;; Profit  ;; Rp4.373 ;;
;;; Harga Jual ;; Rp10.000 ;;
;;; Net Profit  ;; Rp6.876 ;69%;
;;;;;;;
Cream Verse;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;8; Rp1.200 ;;
Susu kental Manis;2500; Rp63.000 ; Rp25 ;15; Rp378 ;;
Vanila Sirup;750; Rp27.000 ; Rp36 ;15; Rp540 ;;
UHT;1000; Rp19.000 ; Rp19 ;60; Rp1.140 ;;
Creamer;1000; Rp45.000 ; Rp45 ;5; Rp225 ;;
Air;19000; Rp10.000 ; Rp1 ;15; Rp8 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas Gelas 14 oz ;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp4.386 ;29%;
;;; Profit  ;; Rp6.140 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp10.614 ;71%;
;;;;;;;
;;;;;;;
Black Theory;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp2.411 ;24%;
;;; Profit  ;; Rp3.375 ;;
;;; Harga Jual ;; Rp10.000 ;;
;;; Net Profit  ;; Rp7.589 ;76%;
;;;;;;;
Mocha Mood;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;8; Rp1.200 ;;
Cokelat Serbuk;750; Rp80.000 ; Rp107 ;15; Rp1.600 ;;
Susu kental Manis;2500; Rp63.000 ; Rp25 ;10; Rp252 ;;
UHT;1000; Rp19.000 ; Rp19 ;75; Rp1.425 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp5.388 ;32%;
;;; Profit  ;; Rp7.543 ;;
;;; Harga Jual ;; Rp17.000 ;;
;;; Net Profit  ;; Rp11.612 ;68%;
;;;;;;;
Deluxe Cocoa;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Cokelat Serbuk;750; Rp61.000 ; Rp81 ;15; Rp1.220 ;;
Susu kental Manis;2500; Rp63.000 ; Rp25 ;20; Rp504 ;;
UHT;1000; Rp17.000 ; Rp17 ;80; Rp1.360 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp3.995 ;27%;
;;; Profit  ;; Rp5.593 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp11.005 ;73%;
;;;;;;;
White Velvet;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Susu kental Manis;2500; Rp63.000 ; Rp25 ;20; Rp504 ;;
Vanila Sirup;750; Rp27.000 ; Rp36 ;15; Rp540 ;;
UHT;1000; Rp17.000 ; Rp17 ;80; Rp1.360 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp3.315 ;22%;
;;; Profit  ;; Rp4.641 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp11.685 ;78%;
;;;;;;;
Pink Pause;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Susu kental Manis;2500; Rp50.000 ; Rp20 ;10; Rp200 ;;
Strawberry Sirup;750; Rp27.000 ; Rp36 ;20; Rp720 ;;
UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp2.851 ;19%;
;;; Profit  ;; Rp3.991 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp12.149 ;81%;
;;;;;;;
;;;;;;;
Peach Susu;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Susu kental Manis;2500; Rp50.000 ; Rp20 ;10; Rp200 ;;
Peach Sirup;750; Rp73.000 ; Rp97 ;20; Rp1.947 ;;
UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;; Grand Total ;; Rp4.077 ;27%;
;;; Profit  ;; Rp5.708 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp10.923 ;73%;
;;;;;;;
;;;;;;;
Sunset Brew;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;
Sirup Peach;750; Rp73.000 ; Rp97 ;20; Rp1.947 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp4.357 ;29%;
;;; Profit  ;; Rp6.100 ;;
;;; Harga Jual ;; Rp15.000 ;;
;;; Net Profit  ;; Rp10.643 ;71%;
;;;;;;;
;;;;;;;
Butter Scotch;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;1.sirup butter scotch Rp. 110.000
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;2.sirup cream cheese rp.110.000
Butter Scotch Syrup;750; Rp110.000 ; Rp147 ;15; Rp2.200 ;;3.gula aren rp.52.000
Susu UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;4.sirup peach Rp 73.000
Susu SKM;2500; Rp50.000 ; Rp20 ;10; Rp200 ;;5.klepon bubuk Rp.58.000
Gula Aren;1000; Rp52.000 ; Rp52 ;10; Rp520 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp6.351 ;35%;
;;; Profit  ;; Rp8.891 ;;
;;; Harga Jual ;; Rp18.000 ;;
;;; Net Profit  ;; Rp11.649 ;65%;
;;;;;;;
Chesse Cream Coffee;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;
cheese Cream Syrup;750; Rp110.000 ; Rp147 ;15; Rp2.200 ;;
Susu UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;
Gula Aren;1000; Rp52.000 ; Rp52 ;10; Rp520 ;;
Chesse Cream Powder;1000; Rp65.000 ; Rp65 ;10; Rp650 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp6.801 ;38%;
;;; Profit  ;; Rp9.521 ;;
;;; Harga Jual ;; Rp18.000 ;;
;;; Net Profit  ;; Rp11.199 ;62%;
;;;;;;;
Berry Cloud;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;
cheese Cream Syrup;750; Rp110.000 ; Rp147 ;15; Rp2.200 ;;
Susu UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;
Chesse Cream Pow;1000; Rp65.000 ; Rp65 ;10; Rp650 ;;
Syrup Strawberry;750; Rp27.000 ; Rp36 ;10; Rp360 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp6.641 ;37%;
;;; Profit  ;; Rp9.297 ;;
;;; Harga Jual ;; Rp18.000 ;;
;;; Net Profit  ;; Rp11.359 ;63%;
;;;;;;;
Klepon Coffee;;;;;;;
Nama Bahan;      satuan (gr, ml, pcs);Harga;Harga/satuan;Resep ;Total ;;
Biji Kopi;1000; Rp150.000 ; Rp150 ;10; Rp1.500 ;;
Klepon Powder;1000; Rp58.000 ; Rp58 ;15; Rp870 ;;
Susu UHT;1000; Rp17.000 ; Rp17 ;60; Rp1.020 ;;
Chesse Cream Pow;1000; Rp65.000 ; Rp65 ;10; Rp650 ;;
Gula Aren;1000; Rp52.000 ; Rp52 ;10; Rp520 ;;
Air;19000; Rp10.000 ; Rp1 ;30; Rp16 ;;
Es;250; Rp10.000 ; Rp40 ;8; Rp320 ;;
Gelas 14oz;1000; Rp575.000 ; Rp575 ;1; Rp575 ;;
;;;;; Rp- ;;
;;;;; Rp- ;;
;;; Grand Total ;; Rp5.471 ;30%;
;;; Profit  ;; Rp7.659 ;;
;;; Harga Jual ;; Rp18.000 ;;
;;; Net Profit  ;; Rp12.529 ;70%;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
