nama_menu,harga_jual,susu,kopi,cup,foto
Bitter Better,10000,30,8,1,https://images.unsplash.com/photo-1517701604599-bb29b565090c?w=500&q=80
Cream Verse,15000,75,8,1,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=500&q=80
Black Theory,10000,0,10,1,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500&q=80
Mocha Mood,17000,85,8,1,https://images.unsplash.com/photo-1578314675249-a6910f80cc4e?w=500&q=80
Deluxe Cocoa,15000,100,0,1,https://images.unsplash.com/photo-1542990253-0d0f5be5f0ed?w=500&q=80
White Velvet,15000,100,0,1,https://images.unsplash.com/photo-1572442388796-11668a67e53d?w=500&q=80
Pink Pause,15000,70,0,1,https://images.unsplash.com/photo-1553787499-6f9133860278?w=500&q=80
Peach Susu,15000,70,0,1,https://images.unsplash.com/photo-1553787499-6f9133860278?w=500&q=80
Sunset Brew,15000,0,10,1,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=500&q=80
Butter Scotch,18000,70,10,1,https://images.unsplash.com/photo-1517701604599-bb29b565090c?w=500&q=80
Cheese Cream Coffee,18000,60,10,1,https://images.unsplash.com/photo-1517701604599-bb29b565090c?w=500&q=80
Berry Cloud,18000,60,10,1,https://images.unsplash.com/photo-1553787499-6f9133860278?w=500&q=80
Klepon Coffee,18000,60,10,1,https://images.unsplash.com/photo-1517701604599-bb29b565090c?w=500&q=80
